ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Cali,Colombia,3.437,-76.523,20.8,20.2,66,19,Clear,2026-03-15 10:58:35,113
Medellin,Colombia,6.291,-75.536,26.0,25.3,62,19,Patchy rain nearby,2026-03-20 20:34:35,176
Bogota,Colombia,4.600,-74.083,8.5,9.0,82,11,Overcast,2026-03-27 03:46:35,122
Bogota,Colombia,4.600,-74.083,8.3,8.6,70,11,Partly cloudy,2026-03-26 13:22:35,116
Cali,Colombia,3.437,-76.523,31.0,30.8,70,16,Patchy rain nearby,2026-04-05 10:58:35,176
Cali,Colombia,3.437,-76.523,31.8,32.4,64,7,Clear,2026-03-31 15:46:35,113
Cartagena,Colombia,10.400,-75.514,26.8,26.8,64,13,Patchy rain nearby,2026-03-25 12:10:35,176
Cartagena,Colombia,10.400,-75.514,30.8,29.3,75,30,Light rain,2026-03-23 16:58:35,296
Medellin,Colombia,6.291,-75.536,24.3,24.8,68,9,Patchy rain nearby,2026-03-19 01:22:35,176
Cali,Colombia,3.437,-76.523,30.9,31.4,56,6,Partly cloudy,2026-03-25 22:58:35,116
Cartagena,Colombia,10.400,-75.514,34.4,32.8,73,31,Clear,2026-03-18 21:46:35,113
Bogota,Colombia,4.600,-74.083,9.2,9.5,65,10,Patchy rain nearby,2026-04-07 20:34:35,176
Medellin,Colombia,6.291,-75.536,18.3,18.5,73,13,Partly cloudy,2026-04-02 18:10:35,116
Barranquilla,Colombia,10.964,-74.796,32.7,31.4,71,27,Patchy rain nearby,2026-03-14 16:58:35,176
Barranquilla,Colombia,10.964,-74.796,25.6,23.6,62,32,Sunny,2026-04-08 21:46:35,113
Bogota,Colombia,4.600,-74.083,16.5,16.5,66,13,Sunny,2026-03-31 15:46:35,113
Cartagena,Colombia,10.400,-75.514,27.1,26.1,81,26,Light rain,2026-03-25 22:58:35,296
Cartagena,Colombia,10.400,-75.514,34.4,32.9,83,32,Light rain,2026-03-13 01:22:35,296
Cartagena,Colombia,10.400,-75.514,27.9,26.3,76,31,Sunny,2026-03-16 08:34:35,113
Cartagena,Colombia,10.400,-75.514,30.1,28.5,65,29,Overcast,2026-03-29 06:10:35,122
Medellin,Colombia,6.291,-75.536,26.8,26.3,68,19,Light rain,2026-04-02 14:34:35,296
Cali,Colombia,3.437,-76.523,23.3,23.3,68,14,Partly cloudy,2026-03-17 13:22:35,116
Cali,Colombia,3.437,-76.523,25.2,25.1,76,16,Patchy rain nearby,2026-03-20 16:58:35,176
Cali,Colombia,3.437,-76.523,24.4,24.3,62,13,Clear,2026-03-20 20:34:35,113
Bogota,Colombia,4.600,-74.083,16.1,16.7,71,8,Partly cloudy,2026-03-29 09:46:35,116
Cali,Colombia,3.437,-76.523,25.0,24.5,75,20,Partly cloudy,2026-03-27 00:10:35,116
Bogota,Colombia,4.600,-74.083,19.0,19.2,82,14,Partly cloudy,2026-03-17 16:58:35,116
Bogota,Colombia,4.600,-74.083,16.8,16.4,88,22,Patchy rain nearby,2026-04-01 09:46:35,176
Barranquilla,Colombia,10.964,-74.796,29.7,28.7,62,22,Overcast,2026-03-15 10:58:35,122
Barranquilla,Colombia,10.964,-74.796,31.9,30.5,78,30,Partly cloudy,2026-03-16 15:46:35,116
Bogota,Colombia,4.600,-74.083,12.3,12.1,85,19,Light rain,2026-03-14 16:58:35,296
Cali,Colombia,3.437,-76.523,31.6,32.7,76,4,Overcast,2026-04-01 06:10:35,122
Medellin,Colombia,6.291,-75.536,24.4,25.0,58,6,Overcast,2026-03-17 16:58:35,122
Cali,Colombia,3.437,-76.523,22.7,23.1,78,12,Overcast,2026-03-17 06:10:35,122
Bogota,Colombia,4.600,-74.083,13.8,13.9,72,13,Light rain,2026-03-31 04:58:35,296
Cali,Colombia,3.437,-76.523,31.3,31.0,70,17,Patchy rain nearby,2026-04-07 13:22:35,176
Barranquilla,Colombia,10.964,-74.796,24.7,23.0,61,29,Clear,2026-04-11 10:58:35,113
Bogota,Colombia,4.600,-74.083,16.3,15.7,85,23,Sunny,2026-04-10 13:22:35,113
Cartagena,Colombia,10.400,-75.514,27.3,26.3,73,25,Light rain,2026-04-10 09:46:35,296
Bogota,Colombia,4.600,-74.083,13.6,12.8,66,21,Patchy rain nearby,2026-03-31 19:22:35,176
Medellin,Colombia,6.291,-75.536,17.6,18.3,70,7,Sunny,2026-03-30 10:58:35,113
Medellin,Colombia,6.291,-75.536,16.6,15.7,65,22,Sunny,2026-03-23 20:34:35,113
Cali,Colombia,3.437,-76.523,21.8,23.0,70,2,Light rain,2026-03-23 06:10:35,296
Cartagena,Colombia,10.400,-75.514,28.6,27.9,85,24,Sunny,2026-03-27 03:46:35,113
Bogota,Colombia,4.600,-74.083,15.9,16.7,79,8,Clear,2026-03-21 10:58:35,113
Cali,Colombia,3.437,-76.523,26.9,26.5,67,17,Overcast,2026-04-02 21:46:35,122
Barranquilla,Colombia,10.964,-74.796,35.2,34.2,82,26,Light rain,2026-04-02 14:34:35,296
Barranquilla,Colombia,10.964,-74.796,31.7,30.3,64,27,Light rain,2026-03-29 06:10:35,296
Barranquilla,Colombia,10.964,-74.796,32.2,31.5,62,19,Clear,2026-04-08 07:22:35,113
Medellin,Colombia,6.291,-75.536,20.2,20.4,83,15,Clear,2026-03-31 22:58:35,113
Cali,Colombia,3.437,-76.523,26.1,27.1,79,6,Overcast,2026-03-20 06:10:35,122
Medellin,Colombia,6.291,-75.536,20.4,21.7,78,3,Sunny,2026-03-21 10:58:35,113
Medellin,Colombia,6.291,-75.536,17.6,16.9,63,20,Patchy rain nearby,2026-03-13 19:22:35,176
Cartagena,Colombia,10.400,-75.514,34.8,35.1,82,13,Patchy rain nearby,2026-04-05 07:22:35,176
Cartagena,Colombia,10.400,-75.514,30.3,29.7,61,18,Clear,2026-03-20 13:22:35,113
Medellin,Colombia,6.291,-75.536,18.1,18.5,78,12,Light rain,2026-04-10 06:10:35,296
Barranquilla,Colombia,10.964,-74.796,28.7,27.1,76,31,Light rain,2026-03-31 08:34:35,296
Medellin,Colombia,6.291,-75.536,21.0,21.2,60,10,Patchy rain nearby,2026-03-13 12:10:35,176
Medellin,Colombia,6.291,-75.536,16.8,16.2,73,21,Clear,2026-03-17 09:46:35,113
Cali,Colombia,3.437,-76.523,28.1,29.0,63,4,Clear,2026-03-13 19:22:35,113
Medellin,Colombia,6.291,-75.536,19.7,18.9,64,21,Sunny,2026-03-29 02:34:35,113
Bogota,Colombia,4.600,-74.083,16.4,17.1,79,9,Light rain,2026-03-29 20:34:35,296
Medellin,Colombia,6.291,-75.536,21.4,21.1,79,19,Light rain,2026-04-02 21:46:35,296
Cartagena,Colombia,10.400,-75.514,32.7,32.9,75,13,Clear,2026-04-09 19:22:35,113
Barranquilla,Colombia,10.964,-74.796,33.6,33.4,63,15,Clear,2026-03-22 08:34:35,113
Medellin,Colombia,6.291,-75.536,22.7,23.1,75,11,Light rain,2026-03-27 07:22:35,296
Cali,Colombia,3.437,-76.523,20.9,21.1,79,14,Patchy rain nearby,2026-03-16 12:10:35,176
Cali,Colombia,3.437,-76.523,25.7,24.8,61,21,Patchy rain nearby,2026-03-24 00:10:35,176
Cali,Colombia,3.437,-76.523,29.3,29.6,60,9,Sunny,2026-03-13 22:58:35,113
Barranquilla,Colombia,10.964,-74.796,26.8,25.6,63,25,Partly cloudy,2026-04-11 00:10:35,116
Bogota,Colombia,4.600,-74.083,19.1,18.8,91,21,Overcast,2026-03-17 20:34:35,122
Cartagena,Colombia,10.400,-75.514,32.0,31.8,80,18,Patchy rain nearby,2026-03-23 06:10:35,176
Medellin,Colombia,6.291,-75.536,20.5,19.8,59,19,Sunny,2026-04-05 14:34:35,113
Barranquilla,Colombia,10.964,-74.796,31.4,30.6,65,21,Sunny,2026-03-31 01:22:35,113
Cartagena,Colombia,10.400,-75.514,30.3,28.7,64,29,Partly cloudy,2026-03-31 04:58:35,116
Cali,Colombia,3.437,-76.523,22.6,22.6,52,10,Light rain,2026-03-31 08:34:35,296
Barranquilla,Colombia,10.964,-74.796,33.0,31.8,83,29,Partly cloudy,2026-04-01 09:46:35,116
Bogota,Colombia,4.600,-74.083,17.2,16.9,83,20,Clear,2026-04-08 14:34:35,113
Medellin,Colombia,6.291,-75.536,19.0,18.4,58,18,Sunny,2026-03-13 04:58:35,113
Barranquilla,Colombia,10.964,-74.796,25.6,24.2,80,30,Clear,2026-03-28 04:58:35,113
Barranquilla,Colombia,10.964,-74.796,24.6,22.6,67,33,Clear,2026-04-02 10:58:35,113
Bogota,Colombia,4.600,-74.083,16.9,17.2,81,13,Partly cloudy,2026-03-24 14:34:35,116
Bogota,Colombia,4.600,-74.083,15.7,16.0,65,10,Clear,2026-03-12 14:34:35,113
Barranquilla,Colombia,10.964,-74.796,24.1,23.3,76,23,Light rain,2026-03-28 12:10:35,296
Cartagena,Colombia,10.400,-75.514,23.6,23.0,61,18,Clear,2026-04-09 22:58:35,113
Barranquilla,Colombia,10.964,-74.796,35.0,34.9,84,18,Clear,2026-03-21 10:58:35,113
Bogota,Colombia,4.600,-74.083,10.7,10.9,65,11,Overcast,2026-03-15 07:22:35,122
Medellin,Colombia,6.291,-75.536,20.4,21.0,82,10,Overcast,2026-04-03 08:34:35,122
Bogota,Colombia,4.600,-74.083,17.0,17.9,92,9,Clear,2026-03-25 12:10:35,113
Barranquilla,Colombia,10.964,-74.796,32.2,32.1,76,16,Sunny,2026-03-12 18:10:35,113
Bogota,Colombia,4.600,-74.083,14.2,14.6,66,9,Partly cloudy,2026-03-30 07:22:35,116
Cartagena,Colombia,10.400,-75.514,27.5,26.8,77,22,Partly cloudy,2026-03-27 00:10:35,116
Cartagena,Colombia,10.400,-75.514,28.8,27.2,75,31,Clear,2026-04-07 16:58:35,113
Barranquilla,Colombia,10.964,-74.796,30.9,30.0,80,25,Overcast,2026-03-20 02:34:35,122
Cartagena,Colombia,10.400,-75.514,23.4,23.6,88,16,Patchy rain nearby,2026-03-16 01:22:35,176
Bogota,Colombia,4.600,-74.083,10.3,10.3,66,13,Sunny,2026-03-27 10:58:35,113
Medellin,Colombia,6.291,-75.536,17.8,17.1,68,21,Clear,2026-04-07 06:10:35,113
Medellin,Colombia,6.291,-75.536,17.4,18.2,56,3,Patchy rain nearby,2026-03-22 08:34:35,176
Barranquilla,Colombia,10.964,-74.796,29.9,28.7,60,24,Sunny,2026-03-29 20:34:35,113
Bogota,Colombia,4.600,-74.083,16.6,17.0,74,11,Patchy rain nearby,2026-03-28 01:22:35,176
Cartagena,Colombia,10.400,-75.514,25.7,25.8,89,17,Partly cloudy,2026-03-30 00:10:35,116
Cali,Colombia,3.437,-76.523,21.7,22.7,79,6,Light rain,2026-04-02 18:10:35,296
Medellin,Colombia,6.291,-75.536,19.9,20.5,67,7,Sunny,2026-03-20 13:22:35,113
Medellin,Colombia,6.291,-75.536,20.1,20.8,64,6,Sunny,2026-03-31 15:46:35,113
Cartagena,Colombia,10.400,-75.514,26.6,25.3,65,26,Sunny,2026-03-26 06:10:35,113
Bogota,Colombia,4.600,-74.083,12.1,12.8,73,8,Partly cloudy,2026-03-16 22:58:35,116
Barranquilla,Colombia,10.964,-74.796,34.6,34.4,71,16,Patchy rain nearby,2026-04-08 18:10:35,176
Medellin,Colombia,6.291,-75.536,18.9,18.8,83,18,Clear,2026-04-06 04:58:35,113
Cali,Colombia,3.437,-76.523,27.2,28.4,71,2,Light rain,2026-04-02 10:58:35,296
Barranquilla,Colombia,10.964,-74.796,24.9,25.1,83,15,Overcast,2026-03-30 00:10:35,122
Cali,Colombia,3.437,-76.523,27.3,28.1,53,3,Overcast,2026-03-21 07:22:35,122
Medellin,Colombia,6.291,-75.536,20.1,19.7,60,16,Overcast,2026-04-11 10:58:35,122
Barranquilla,Colombia,10.964,-74.796,25.1,24.2,64,22,Sunny,2026-04-06 15:46:35,113
Bogota,Colombia,4.600,-74.083,19.5,19.7,90,16,Partly cloudy,2026-04-11 00:10:35,116
Cali,Colombia,3.437,-76.523,27.7,27.3,78,20,Light rain,2026-04-08 00:10:35,296
Cartagena,Colombia,10.400,-75.514,31.9,30.3,62,28,Partly cloudy,2026-04-01 20:34:35,116
Medellin,Colombia,6.291,-75.536,17.0,17.5,56,6,Sunny,2026-03-29 06:10:35,113
Barranquilla,Colombia,10.964,-74.796,26.2,25.0,70,26,Patchy rain nearby,2026-03-13 12:10:35,176
Cali,Colombia,3.437,-76.523,25.6,26.5,65,4,Sunny,2026-03-16 15:46:35,113
Bogota,Colombia,4.600,-74.083,8.6,8.8,94,17,Partly cloudy,2026-03-29 13:22:35,116
Bogota,Colombia,4.600,-74.083,16.0,15.9,88,19,Patchy rain nearby,2026-04-01 16:58:35,176
Bogota,Colombia,4.600,-74.083,11.6,11.6,84,17,Clear,2026-03-17 09:46:35,113
Bogota,Colombia,4.600,-74.083,18.9,20.1,90,6,Clear,2026-03-19 08:34:35,113
Medellin,Colombia,6.291,-75.536,18.8,20.1,78,3,Light rain,2026-03-15 21:46:35,296
Medellin,Colombia,6.291,-75.536,26.4,26.7,71,11,Clear,2026-03-28 15:46:35,113
Medellin,Colombia,6.291,-75.536,26.8,27.7,75,6,Patchy rain nearby,2026-03-18 18:10:35,176
Barranquilla,Colombia,10.964,-74.796,30.1,28.1,58,32,Clear,2026-04-02 07:22:35,113
Cartagena,Colombia,10.400,-75.514,30.7,29.8,63,22,Overcast,2026-03-14 02:34:35,122
Cali,Colombia,3.437,-76.523,26.9,27.0,71,13,Clear,2026-03-22 22:58:35,113
Barranquilla,Colombia,10.964,-74.796,29.1,28.8,73,18,Patchy rain nearby,2026-03-30 07:22:35,176
Bogota,Colombia,4.600,-74.083,19.0,18.8,70,16,Light rain,2026-04-11 10:58:35,296
Cali,Colombia,3.437,-76.523,28.2,29.4,78,4,Sunny,2026-03-13 15:46:35,113
Bogota,Colombia,4.600,-74.083,12.6,12.8,82,14,Overcast,2026-03-16 12:10:35,122
Cali,Colombia,3.437,-76.523,31.6,31.7,79,15,Light rain,2026-03-15 07:22:35,296
Cali,Colombia,3.437,-76.523,31.7,31.4,63,16,Patchy rain nearby,2026-04-01 16:58:35,176
Cali,Colombia,3.437,-76.523,27.4,28.1,67,6,Light rain,2026-03-25 19:22:35,296
Medellin,Colombia,6.291,-75.536,17.4,17.9,67,8,Light rain,2026-03-29 16:58:35,296
Medellin,Colombia,6.291,-75.536,23.1,23.4,55,8,Clear,2026-03-24 18:10:35,113
Bogota,Colombia,4.600,-74.083,8.2,8.8,81,10,Partly cloudy,2026-04-07 13:22:35,116
Cali,Colombia,3.437,-76.523,26.5,27.4,59,3,Light rain,2026-03-12 21:46:35,296
Medellin,Colombia,6.291,-75.536,25.9,25.0,55,20,Patchy rain nearby,2026-03-13 08:34:35,176
Medellin,Colombia,6.291,-75.536,17.5,17.1,66,17,Overcast,2026-03-21 14:34:35,122
Bogota,Colombia,4.600,-74.083,14.1,13.5,88,24,Light rain,2026-03-28 22:58:35,296
Bogota,Colombia,4.600,-74.083,16.7,17.8,89,7,Clear,2026-03-20 06:10:35,113
Bogota,Colombia,4.600,-74.083,14.5,14.7,90,16,Clear,2026-03-24 21:46:35,113
Medellin,Colombia,6.291,-75.536,25.3,24.9,80,20,Partly cloudy,2026-04-05 07:22:35,116
Barranquilla,Colombia,10.964,-74.796,28.7,27.8,62,21,Clear,2026-04-09 12:10:35,113
Cali,Colombia,3.437,-76.523,28.7,27.9,65,21,Partly cloudy,2026-04-11 00:10:35,116
Cartagena,Colombia,10.400,-75.514,32.5,31.8,88,25,Sunny,2026-04-05 14:34:35,113
Barranquilla,Colombia,10.964,-74.796,29.2,28.4,78,24,Patchy rain nearby,2026-04-08 03:46:35,176
Cali,Colombia,3.437,-76.523,25.5,25.7,68,12,Overcast,2026-03-21 21:46:35,122
Medellin,Colombia,6.291,-75.536,21.4,20.6,56,19,Partly cloudy,2026-04-02 03:46:35,116
Cali,Colombia,3.437,-76.523,21.4,22.1,79,9,Clear,2026-04-01 09:46:35,113
Medellin,Colombia,6.291,-75.536,27.0,26.5,69,19,Light rain,2026-04-08 00:10:35,296
Cali,Colombia,3.437,-76.523,30.1,29.6,66,18,Partly cloudy,2026-03-18 00:10:35,116
Cali,Colombia,3.437,-76.523,31.1,31.0,58,13,Sunny,2026-04-10 13:22:35,113
Medellin,Colombia,6.291,-75.536,16.4,17.1,74,8,Partly cloudy,2026-04-11 00:10:35,116
Bogota,Colombia,4.600,-74.083,13.3,14.1,70,6,Patchy rain nearby,2026-04-08 00:10:35,176
Barranquilla,Colombia,10.964,-74.796,24.6,23.0,75,31,Partly cloudy,2026-03-26 09:46:35,116
Cartagena,Colombia,10.400,-75.514,29.6,29.0,85,23,Partly cloudy,2026-03-19 15:46:35,116
Barranquilla,Colombia,10.964,-74.796,34.8,33.8,61,22,Overcast,2026-03-27 03:46:35,122
Cali,Colombia,3.437,-76.523,20.4,20.4,69,14,Partly cloudy,2026-04-02 03:46:35,116
Medellin,Colombia,6.291,-75.536,22.0,23.4,83,3,Light rain,2026-03-25 04:58:35,296
Medellin,Colombia,6.291,-75.536,28.0,28.5,80,11,Partly cloudy,2026-03-25 12:10:35,116
Cali,Colombia,3.437,-76.523,23.1,22.5,57,17,Overcast,2026-03-28 19:22:35,122
Bogota,Colombia,4.600,-74.083,18.3,17.6,71,21,Patchy rain nearby,2026-03-26 06:10:35,176
Medellin,Colombia,6.291,-75.536,27.7,27.6,82,17,Overcast,2026-03-19 15:46:35,122
Cartagena,Colombia,10.400,-75.514,33.3,31.8,81,31,Light rain,2026-04-08 18:10:35,296
Barranquilla,Colombia,10.964,-74.796,35.0,33.7,74,28,Overcast,2026-03-20 20:34:35,122
Medellin,Colombia,6.291,-75.536,24.9,24.6,70,17,Patchy rain nearby,2026-03-24 21:46:35,176
Barranquilla,Colombia,10.964,-74.796,27.5,26.6,77,24,Sunny,2026-03-15 14:34:35,113
Bogota,Colombia,4.600,-74.083,11.9,12.0,85,16,Clear,2026-03-28 04:58:35,113
Cartagena,Colombia,10.400,-75.514,34.7,33.7,65,23,Light rain,2026-04-09 04:58:35,296
Medellin,Colombia,6.291,-75.536,25.8,26.0,71,12,Overcast,2026-03-13 01:22:35,122
Medellin,Colombia,6.291,-75.536,19.0,18.4,80,22,Sunny,2026-04-03 19:22:35,113
Bogota,Colombia,4.600,-74.083,10.7,9.6,67,24,Partly cloudy,2026-04-02 18:10:35,116
Barranquilla,Colombia,10.964,-74.796,31.3,30.1,80,28,Light rain,2026-03-29 09:46:35,296
Bogota,Colombia,4.600,-74.083,16.5,16.8,86,14,Light rain,2026-04-09 15:46:35,296
Cartagena,Colombia,10.400,-75.514,33.8,33.7,79,17,Clear,2026-03-26 16:58:35,113
Barranquilla,Colombia,10.964,-74.796,26.6,24.9,79,33,Sunny,2026-03-28 15:46:35,113
Medellin,Colombia,6.291,-75.536,17.1,16.8,61,15,Partly cloudy,2026-03-23 16:58:35,116
Cali,Colombia,3.437,-76.523,21.0,20.9,78,17,Overcast,2026-03-18 03:46:35,122
Cartagena,Colombia,10.400,-75.514,33.6,32.9,71,21,Overcast,2026-03-17 13:22:35,122
Bogota,Colombia,4.600,-74.083,18.9,18.7,82,18,Sunny,2026-03-31 22:58:35,113
Medellin,Colombia,6.291,-75.536,27.3,26.5,67,21,Partly cloudy,2026-03-27 10:58:35,116
Medellin,Colombia,6.291,-75.536,24.2,24.3,81,15,Sunny,2026-04-01 13:22:35,113
Cartagena,Colombia,10.400,-75.514,24.6,23.3,85,30,Partly cloudy,2026-03-22 04:58:35,116
Barranquilla,Colombia,10.964,-74.796,26.7,26.0,73,22,Clear,2026-03-12 14:34:35,113
Bogota,Colombia,4.600,-74.083,9.2,9.4,84,15,Partly cloudy,2026-03-20 16:58:35,116
Barranquilla,Colombia,10.964,-74.796,27.3,27.0,70,17,Sunny,2026-04-08 10:58:35,113
Cartagena,Colombia,10.400,-75.514,31.9,30.5,69,28,Overcast,2026-03-26 20:34:35,122
Cali,Colombia,3.437,-76.523,25.9,25.6,50,13,Partly cloudy,2026-04-08 03:46:35,116
Cartagena,Colombia,10.400,-75.514,31.3,29.7,65,29,Partly cloudy,2026-04-07 20:34:35,116
Barranquilla,Colombia,10.964,-74.796,26.8,26.8,85,17,Sunny,2026-04-05 18:10:35,113
Cartagena,Colombia,10.400,-75.514,27.0,26.3,83,24,Light rain,2026-04-06 01:22:35,296
Medellin,Colombia,6.291,-75.536,16.8,17.3,68,9,Overcast,2026-04-01 20:34:35,122
Bogota,Colombia,4.600,-74.083,17.9,18.4,92,13,Patchy rain nearby,2026-04-10 09:46:35,176
Cali,Colombia,3.437,-76.523,22.3,22.1,57,13,Clear,2026-03-24 10:58:35,113
Barranquilla,Colombia,10.964,-74.796,25.7,24.5,75,27,Patchy rain nearby,2026-03-25 01:22:35,176
Bogota,Colombia,4.600,-74.083,19.6,19.7,82,15,Light rain,2026-03-21 14:34:35,296
Cali,Colombia,3.437,-76.523,24.3,23.9,57,15,Patchy rain nearby,2026-03-29 02:34:35,176
Medellin,Colombia,6.291,-75.536,27.4,27.7,75,12,Partly cloudy,2026-03-26 20:34:35,116
Bogota,Colombia,4.600,-74.083,10.8,10.9,83,16,Light rain,2026-03-13 01:22:35,296
Cali,Colombia,3.437,-76.523,20.4,21.1,77,8,Clear,2026-04-10 06:10:35,113
Medellin,Colombia,6.291,-75.536,19.6,19.6,56,11,Sunny,2026-04-08 14:34:35,113
Medellin,Colombia,6.291,-75.536,19.4,19.8,77,11,Sunny,2026-04-06 01:22:35,113
Bogota,Colombia,4.600,-74.083,9.0,10.0,77,5,Clear,2026-03-12 21:46:35,113
Bogota,Colombia,4.600,-74.083,9.4,10.5,94,8,Overcast,2026-03-27 00:10:35,122
Barranquilla,Colombia,10.964,-74.796,24.7,23.6,59,23,Patchy rain nearby,2026-03-31 15:46:35,176
Medellin,Colombia,6.291,-75.536,17.5,17.7,84,15,Clear,2026-03-13 22:58:35,113
Medellin,Colombia,6.291,-75.536,25.5,26.1,72,8,Clear,2026-03-24 07:22:35,113
Barranquilla,Colombia,10.964,-74.796,28.0,26.4,75,31,Overcast,2026-04-11 03:46:35,122
Medellin,Colombia,6.291,-75.536,25.1,25.7,82,10,Clear,2026-03-28 12:10:35,113
Barranquilla,Colombia,10.964,-74.796,29.9,27.7,58,34,Light rain,2026-04-04 16:58:35,296
Barranquilla,Colombia,10.964,-74.796,25.5,23.7,58,30,Clear,2026-04-07 06:10:35,113
Cali,Colombia,3.437,-76.523,20.4,20.7,76,12,Light rain,2026-03-18 10:58:35,296
Barranquilla,Colombia,10.964,-74.796,25.3,23.3,66,33,Overcast,2026-03-14 20:34:35,122
Bogota,Colombia,4.600,-74.083,13.5,13.5,89,18,Sunny,2026-03-30 10:58:35,113
Medellin,Colombia,6.291,-75.536,21.7,22.4,60,5,Light rain,2026-04-10 09:46:35,296
Barranquilla,Colombia,10.964,-74.796,24.8,23.1,58,29,Partly cloudy,2026-03-18 21:46:35,116
Cali,Colombia,3.437,-76.523,25.6,26.2,69,8,Overcast,2026-04-05 18:10:35,122
Barranquilla,Colombia,10.964,-74.796,24.9,24.1,70,22,Patchy rain nearby,2026-04-01 20:34:35,176
Cartagena,Colombia,10.400,-75.514,34.4,34.0,87,21,Clear,2026-03-29 20:34:35,113
Bogota,Colombia,4.600,-74.083,16.1,17.4,94,6,Patchy rain nearby,2026-03-20 02:34:35,176
Medellin,Colombia,6.291,-75.536,17.1,16.8,67,16,Overcast,2026-03-26 16:58:35,122
Medellin,Colombia,6.291,-75.536,20.1,21.0,77,6,Clear,2026-04-05 00:10:35,113
Cali,Colombia,3.437,-76.523,27.7,26.7,55,21,Patchy rain nearby,2026-03-16 19:22:35,176
Medellin,Colombia,6.291,-75.536,23.9,23.7,58,14,Overcast,2026-04-09 22:58:35,122
Barranquilla,Colombia,10.964,-74.796,24.6,22.8,65,31,Clear,2026-04-06 19:22:35,113
Medellin,Colombia,6.291,-75.536,23.3,22.8,67,18,Clear,2026-04-08 10:58:35,113
Cali,Colombia,3.437,-76.523,24.5,24.6,72,13,Sunny,2026-03-14 06:10:35,113
Cartagena,Colombia,10.400,-75.514,26.5,25.0,79,31,Patchy rain nearby,2026-04-10 20:34:35,176
Cartagena,Colombia,10.400,-75.514,34.4,33.6,73,23,Sunny,2026-03-29 09:46:35,113
Bogota,Colombia,4.600,-74.083,16.8,18.0,83,5,Clear,2026-04-10 20:34:35,113
Medellin,Colombia,6.291,-75.536,25.3,25.9,68,8,Partly cloudy,2026-04-10 13:22:35,116
Barranquilla,Colombia,10.964,-74.796,30.5,30.2,62,15,Partly cloudy,2026-04-10 20:34:35,116
Cartagena,Colombia,10.400,-75.514,31.1,31.0,78,17,Light rain,2026-03-28 22:58:35,296
Cali,Colombia,3.437,-76.523,20.4,20.5,54,10,Overcast,2026-03-14 02:34:35,122
Barranquilla,Colombia,10.964,-74.796,34.1,32.3,68,32,Patchy rain nearby,2026-03-15 00:10:35,176
Barranquilla,Colombia,10.964,-74.796,27.5,26.2,80,29,Clear,2026-04-03 15:46:35,113
Medellin,Colombia,6.291,-75.536,21.9,21.8,59,13,Overcast,2026-03-15 10:58:35,122
Medellin,Colombia,6.291,-75.536,26.3,25.8,57,16,Sunny,2026-03-23 06:10:35,113
Cartagena,Colombia,10.400,-75.514,30.7,29.0,73,32,Overcast,2026-04-01 09:46:35,122
Cartagena,Colombia,10.400,-75.514,33.5,32.2,67,26,Sunny,2026-03-20 09:46:35,113
Cali,Colombia,3.437,-76.523,30.4,29.5,62,21,Clear,2026-03-19 15:46:35,113
Bogota,Colombia,4.600,-74.083,15.9,16.5,93,13,Sunny,2026-04-09 22:58:35,113
Cali,Colombia,3.437,-76.523,24.6,25.0,75,11,Light rain,2026-04-06 15:46:35,296
Medellin,Colombia,6.291,-75.536,21.4,21.2,75,17,Sunny,2026-03-22 15:46:35,113
Cali,Colombia,3.437,-76.523,24.9,24.7,63,15,Clear,2026-03-18 18:10:35,113
Bogota,Colombia,4.600,-74.083,9.7,9.2,68,19,Sunny,2026-03-12 18:10:35,113
Cartagena,Colombia,10.400,-75.514,32.1,30.3,68,32,Overcast,2026-04-08 07:22:35,122
Cartagena,Colombia,10.400,-75.514,30.8,29.4,60,26,Patchy rain nearby,2026-03-30 14:34:35,176
Bogota,Colombia,4.600,-74.083,16.2,16.9,90,11,Partly cloudy,2026-03-26 20:34:35,116
Bogota,Colombia,4.600,-74.083,15.1,14.8,93,22,Sunny,2026-03-30 14:34:35,113
Cali,Colombia,3.437,-76.523,28.4,28.2,77,17,Light rain,2026-03-29 20:34:35,296
Bogota,Colombia,4.600,-74.083,10.0,9.9,80,17,Clear,2026-03-18 10:58:35,113
Cali,Colombia,3.437,-76.523,23.3,23.9,66,7,Partly cloudy,2026-03-25 15:46:35,116
Cartagena,Colombia,10.400,-75.514,31.9,30.9,85,27,Sunny,2026-04-10 13:22:35,113
Cartagena,Colombia,10.400,-75.514,32.6,31.4,66,25,Overcast,2026-03-24 00:10:35,122
Cartagena,Colombia,10.400,-75.514,24.6,23.8,66,21,Sunny,2026-03-27 14:34:35,113
Cali,Colombia,3.437,-76.523,26.0,25.7,76,18,Sunny,2026-03-16 22:58:35,113
Cali,Colombia,3.437,-76.523,29.9,29.8,72,15,Sunny,2026-03-30 00:10:35,113
Medellin,Colombia,6.291,-75.536,23.5,24.3,77,7,Sunny,2026-03-13 15:46:35,113
Bogota,Colombia,4.600,-74.083,10.9,11.5,78,10,Light rain,2026-03-15 00:10:35,296
Barranquilla,Colombia,10.964,-74.796,28.8,27.6,79,28,Overcast,2026-03-25 08:34:35,122
Bogota,Colombia,4.600,-74.083,19.0,19.4,94,15,Patchy rain nearby,2026-04-01 20:34:35,176
